,Pot1,Pot2,Pot3,Pot4,Pot5
73,0.252,0.048,0.13999999999999999,0.074,0.22000000000000003
74,0.254,0.10200000000000001,0.124,0.074,0.196
75,0.256,0.10600000000000001,0.21200000000000002,0.072,0.24
76,0.252,0.11200000000000002,0.13,0.06999999999999999,0.24
77,0.27599999999999997,0.186,0.10800000000000001,0.11399999999999999,0.21400000000000002
78,0.27599999999999997,0.21400000000000002,0.10800000000000001,0.086,0.254
79,0.27799999999999997,0.21800000000000003,0.11000000000000001,0.122,0.25
80,0.27599999999999997,0.21600000000000003,0.1,0.08399999999999999,0.24
81,0.27599999999999997,0.21800000000000003,0.10200000000000001,0.126,0.25
82,0.294,0.16,0.19,0.10800000000000001,0.236
83,0.29,0.148,0.124,0.08,0.236
84,0.23199999999999998,0.15,0.136,0.06999999999999999,0.23399999999999999
85,0.292,0.22400000000000003,0.19,0.03,0.23199999999999998
86,0.29,0.154,0.202,0.092,0.23199999999999998
87,0.198,0.184,0.198,0.064,0.16999999999999998
88,0.2,0.188,0.2,0.066,0.16999999999999998
89,0.198,0.19,0.198,0.064,0.16599999999999998
90,0.196,0.158,0.196,0.06,0.16
